,Coin,FinalValue,Trades,Sharpe
1,NEM,266524959.92060342,127,1.4425455049122584
2,Ethereum,126684892.91098146,107,1.8418224857258876
3,Dogecoin,67600056.19471855,162,1.2244603708031139
4,XRP,54743321.74219046,166,1.1399008503555814
5,Monero,11003959.808344364,138,1.1970936934145915
6,Litecoin,10033860.293035474,167,1.0358630653827292
7,Cardano,7447077.5784026515,68,1.5341994892652355
8,Bitcoin,6235132.061597793,157,1.3715258560276773
9,BinanceCoin,6028845.802156418,71,1.6425055622455162
10,Stellar,1558690.7236369532,148,0.9223961091505563
11,ChainLink,962060.7416388748,76,1.355854681281971
12,Tron,621388.1040927515,84,1.0997879641978745
13,Iota,303542.3216426223,88,1.1133867930367431
14,Solana,211466.43770888026,27,2.069587272014954
15,CryptocomCoin,174636.0654682903,43,1.13498208885805
16,WrappedBitcoin,66868.80930514817,51,1.2924480194597674
17,EOS,66827.48466542586,82,0.7998607181354578
18,Uniswap,66494.39486555298,15,2.116270078084754
19,Aave,33317.03926163497,15,1.6414796061729555
20,Cosmos,23408.44747914734,53,0.718505081474095
21,Polkadot,22970.56919841149,24,1.1719529471390935
22,USDCoin,7076.938959007324,130,-1.6238911954003679
23,Tether,6460.781038212009,218,-0.7631448846928931
